Id,LotArea,OverallQual,YearBuilt,1terQual,HeatingQC,GrLivArea,KitchenQual,TotRmsAbvGrd,GarageArea,SalePrice
1,8450,2,2003,2,1,1710,2,8,548,208500
2,9600,2,1976,3,1,1262,3,6,460,181500
3,11250,2,2001,2,1,1786,2,6,608,223500
4,9550,2,1915,3,2,1717,2,7,642,140000
5,14260,2,2000,2,1,2198,2,9,836,250000
6,14115,1,1993,3,1,1362,3,5,480,143000
7,10084,2,2004,2,1,1694,2,7,636,307000
8,10382,2,1973,3,1,2090,3,7,484,200000
9,6120,2,1931,3,2,1774,3,8,468,129900
10,7420,1,1939,3,1,1077,3,5,205,118000
11,11200,1,1965,3,1,1040,3,5,384,129500
12,11924,2,2005,1,1,2324,1,11,736,345000
13,12968,1,1962,3,3,912,3,4,352,144000
14,10652,2,2006,2,1,1494,2,7,840,279500
15,10920,2,1960,3,3,1253,3,5,352,157000
16,6120,2,1929,3,1,854,3,5,576,132000
17,11241,2,1970,3,1,1004,3,5,480,149000
18,10791,1,1967,3,3,1296,3,6,516,90000
19,13695,1,2004,3,1,1114,2,6,576,159000
20,7560,1,1958,3,3,1339,3,6,294,139000
21,14215,2,2005,2,1,2376,2,9,853,325300
22,7449,2,1930,3,1,1108,2,6,280,139400
23,9742,2,2002,2,1,1795,2,7,534,230000
24,4224,1,1976,3,3,1060,3,6,572,129900
25,8246,1,1968,3,1,1060,2,6,270,154000
26,14230,2,2007,2,1,1600,2,7,890,256300
27,7200,1,1951,3,3,900,2,5,576,134800
28,11478,2,2007,2,1,1704,2,7,772,306000
29,16321,1,1957,3,3,1600,3,6,319,207500
30,6324,1,1927,3,4,520,4,4,240,68500
31,8500,1,1920,3,3,1317,3,6,250,40000
32,8544,1,1966,3,2,1228,2,6,271,149350
33,11049,2,2007,2,1,1234,2,7,484,179900
34,10552,1,1959,3,2,1700,2,6,447,165500
35,7313,2,2005,1,1,1561,1,6,556,277500
36,13418,2,2004,2,1,2452,2,9,691,309000
37,10859,1,1994,3,1,1097,3,6,672,145000
38,8532,1,1954,3,2,1297,3,5,498,153000
39,7922,1,1953,3,3,1057,2,5,246,109000
40,6040,1,1955,3,3,1152,4,6,0,82000
41,8658,2,1965,3,1,1324,3,6,440,160000
42,16905,1,1959,3,2,1328,3,5,308,170000
43,9180,1,1983,3,2,884,2,5,504,144000
44,9200,1,1975,3,3,938,3,5,308,130250
45,7945,1,1959,3,1,1150,3,6,300,141000
46,7658,2,2005,1,1,1752,1,6,576,319900
47,12822,2,2003,2,1,2149,2,6,670,239686
48,11096,2,2006,2,1,1656,2,7,826,249700
49,4456,1,1920,3,2,1452,3,8,0,113000
50,7742,1,1966,3,1,955,3,6,386,127000
51,13869,2,1997,3,2,1470,3,6,388,177000
52,6240,2,1934,3,3,1176,3,6,528,114500
53,8472,1,1963,4,3,816,3,5,516,110000
54,50271,2,1981,2,2,1842,2,5,894,385000
55,7134,1,1955,3,3,1360,3,6,572,130000
56,10175,2,1964,3,2,1425,3,7,576,180500
57,2645,2,1999,2,1,1739,2,7,480,172500
58,11645,2,2004,2,1,1720,2,7,565,196500
59,13682,2,2006,1,1,2945,2,10,641,438780
60,7200,1,1972,3,1,780,3,4,352,124900
61,13072,2,2004,3,1,1158,2,5,576,158000
62,7200,1,1920,3,3,1111,4,6,288,101000
63,6442,2,2006,2,1,1370,2,6,484,202500
64,10300,2,1921,3,2,1710,3,9,480,140000
65,9375,2,1997,3,1,2034,2,8,645,219500
66,9591,2,2004,2,1,2473,2,9,852,317000
67,19900,2,1970,3,3,2207,3,7,576,180000
68,10665,2,2003,2,1,1479,2,7,558,226000
69,4608,1,1945,3,3,747,3,4,220,80000
70,15593,2,1953,2,3,2287,3,7,667,225000
71,13651,2,1973,3,1,2223,3,8,516,244000
72,7599,1,1982,3,3,845,3,4,360,129500
73,10141,2,1998,3,2,1718,3,7,427,185000
74,10200,1,1954,3,2,1086,3,6,490,144900
75,5790,1,1915,2,2,1605,3,8,379,107400
76,1596,1,1973,3,3,988,3,5,297,91000
77,8475,1,1956,3,1,952,3,4,283,135750
78,8635,1,1948,3,3,1285,3,6,240,127000
79,10778,1,1968,3,3,1768,3,8,0,136500
80,10440,1,1910,3,2,1230,3,5,440,110000
81,13000,2,1968,3,3,2142,2,8,509,193500
82,4500,2,1998,3,1,1337,3,5,405,153500
83,10206,2,2007,3,1,1563,2,6,758,245000
84,8892,1,1960,3,2,1065,3,6,461,126500
85,8530,2,1995,3,2,1474,3,7,400,168500
